N         鍏ㄧ礌鍥犲瓙                   cur          ref          宸?
12        [2, 3]                 2.640647     2.640647     +0.000e+00
68        [2, 17]                1.320324     1.408345     -8.802e-02
128       [2]                    1.320324     1.320324     +0.000e+00
152       [2, 19]                1.320324     1.397990     -7.767e-02
632       [2, 79]                1.320324     1.337471     -1.715e-02
1112      [2, 139]               1.320324     1.329961     -9.637e-03
1412      [2, 353]               1.320324     1.324085     -3.762e-03
9602      [2, 4801]              1.320324     1.320599     -2.751e-04
10006     [2, 5003]              1.320324     1.320588     -2.640e-04
13892     [2, 23, 151]           1.383196     1.392479     -9.283e-03
26288     [2, 31, 53]            1.365852     1.392633     -2.678e-02
27908     [2, 6977]              1.320324     1.320513     -1.893e-04
100000    [2, 5]                 1.760432     1.760432     +0.000e+00
1000000   [2, 5]                 1.760432     1.760432     +0.000e+00
2000000   [2, 5]                 1.760432     1.760432     +0.000e+00

